group,role,count,tobj_mean,tobj_std,tobj_min,tobj_p25,tobj_p50,tobj_p75,tobj_p90,tobj_max,tunk_mean,tunk_std,tunk_min,tunk_p25,tunk_p50,tunk_p75,tunk_p90,tunk_max,max_known_iou_mean,max_known_iou_std,max_known_iou_min,max_known_iou_p25,max_known_iou_p50,max_known_iou_p75,max_known_iou_p90,max_known_iou_max,best_full_iou_mean,best_full_iou_std,best_full_iou_min,best_full_iou_p25,best_full_iou_p50,best_full_iou_p75,best_full_iou_p90,best_full_iou_max,best_target_iou_mean,best_target_iou_std,best_target_iou_min,best_target_iou_p25,best_target_iou_p50,best_target_iou_p75,best_target_iou_p90,best_target_iou_max,max_known_score_mean,max_known_score_std,max_known_score_min,max_known_score_p25,max_known_score_p50,max_known_score_p75,max_known_score_p90,max_known_score_max,tunk_minus_tobj_mean,tunk_minus_tobj_std,tunk_minus_tobj_min,tunk_minus_tobj_p25,tunk_minus_tobj_p50,tunk_minus_tobj_p75,tunk_minus_tobj_p90,tunk_minus_tobj_max,tunk_over_tobj_mean,tunk_over_tobj_std,tunk_over_tobj_min,tunk_over_tobj_p25,tunk_over_tobj_p50,tunk_over_tobj_p75,tunk_over_tobj_p90,tunk_over_tobj_max
human.pedestrian.construction_worker|stride16,novel,584,0.12174900293777607,0.09838100134943727,0.010082355700433254,0.045560712926089764,0.10079381242394447,0.166266530752182,0.2618813782930374,0.613987922668457,0.09205335490816202,0.082880347937693,0.001579320291057229,0.029399597086012363,0.0700085274875164,0.1335362233221531,0.20084698647260668,0.6439597010612488,0.060334646464133126,0.09751210045571362,0.0,0.0,0.0,0.09636715799570084,0.21258555501699453,0.4833053946495056,0.786193291822525,0.13731330279163131,0.5016576051712036,0.6694990396499634,0.8258401155471802,0.9018187671899796,0.9357450067996979,0.9891164302825928,0.786193291822525,0.13731330279163131,0.5016576051712036,0.6694990396499634,0.8258401155471802,0.9018187671899796,0.9357450067996979,0.9891164302825928,0.010163856275820053,0.024784319604048314,3.575711161829531e-05,0.0017463208641856909,0.0036774645559489727,0.00914282537996769,0.021637931279838093,0.3080231249332428,-0.02969564801107531,0.03919377314414904,-0.18322333693504333,-0.050708113238215446,-0.020538223907351494,-0.007632158230990171,0.005313118547201161,0.24173957109451294,0.7140084851966941,0.2691272994734801,0.09003335237503052,0.5374826639890671,0.6890250742435455,0.8536990284919739,1.0617688179016114,1.8626580238342285
human.pedestrian.construction_worker|stride32,novel,15,0.06921399701386691,0.052996870166562106,0.013284026645123959,0.025530876591801643,0.0612429603934288,0.0847492553293705,0.14269371330738068,0.2017829567193985,0.03623132950936755,0.03478874491676938,0.004662683233618736,0.012278417591005564,0.0182888675481081,0.04748781584203243,0.09753281772136688,0.10938065499067307,0.06811407158772151,0.09756024711987338,0.0,0.0,0.02527020312845707,0.10578317567706108,0.2244747847318649,0.28500840067863464,0.7484127481778463,0.176420652165464,0.5266115665435791,0.6018894016742706,0.6699245572090149,0.9189221560955048,0.9660607695579528,0.9819851517677307,0.7484127481778463,0.176420652165464,0.5266115665435791,0.6018894016742706,0.6699245572090149,0.9189221560955048,0.9660607695579528,0.9819851517677307,0.03673223191096137,0.06489071560219373,0.0003396399552002549,0.001643700001295656,0.011000375263392925,0.03590928949415684,0.08668836653232573,0.25635284185409546,-0.032982667349278925,0.026879439357745612,-0.11876928061246872,-0.039304617792367935,-0.022013170644640923,-0.01505717122927308,-0.011671900004148484,-0.008621343411505222,0.46774578591187793,0.17199557908027,0.19381782412528992,0.3546884059906006,0.44542717933654785,0.5346349775791168,0.7386695861816406,0.7860926389694214
human.pedestrian.construction_worker|stride8,novel,2699,0.060710549865935236,0.06279960520217381,0.010001457296311855,0.017915112897753716,0.0368817038834095,0.07838952913880348,0.14254080355167392,0.5108956694602966,0.06503774682411201,0.08567687253401488,0.0002836271596606821,0.010334508959203959,0.031752075999975204,0.08363320305943489,0.16430382430553442,0.740208089351654,0.0437728155132442,0.08467635246155736,0.0,0.0,0.0,0.04631335102021694,0.17926565408706696,0.48720312118530273,0.7318613901320278,0.12240264160491014,0.5000379681587219,0.6338575482368469,0.7425109148025513,0.8330000638961792,0.8906393408775329,0.982615053653717,0.7318613901320278,0.12240264160491014,0.5000379681587219,0.6338575482368469,0.7425109148025513,0.8330000638961792,0.8906393408775329,0.982615053653717,0.01144108172593081,0.04198076142172104,1.821341015784128e-06,0.0009780822438187897,0.0026773568242788315,0.0077081480994820595,0.021488938108086608,0.8114861249923706,0.00432719696653374,0.03465901017883347,-0.15420463681221008,-0.010228866711258888,-0.004822880495339632,0.007270140573382378,0.04061826169490816,0.3147393763065338,0.8774544589908841,0.44614080405706347,0.0268736369907856,0.5526428818702698,0.8421719074249268,1.1330800652503967,1.4254022121429444,3.9522006511688232
human.pedestrian.personal_mobility|stride16,novel,52,0.1737452873852677,0.21821926972792283,0.011714674532413483,0.03223722893744707,0.07788865268230438,0.18005990236997604,0.5898901522159576,0.8316439390182495,0.0793287083976723,0.09909055429048895,0.0012373019708320498,0.012194352922961116,0.03505847975611687,0.110944589599967,0.1979554682970047,0.3965614438056946,0.03521436017651398,0.09666691352750248,0.0,0.0,0.0,0.0,0.10854973867535589,0.4937024414539337,0.7046935925116906,0.13400772151882914,0.5066256523132324,0.5892422497272491,0.6908003687858582,0.8123143315315247,0.9110065460205078,0.9349566698074341,0.7046935925116906,0.13400772151882914,0.5066256523132324,0.5892422497272491,0.6908003687858582,0.8123143315315247,0.9110065460205078,0.9349566698074341,0.07246084607490608,0.12829937862552934,3.848670166917145e-05,0.006129395216703415,0.020748037844896317,0.0726132933050394,0.172467391192913,0.7738661170005798,-0.09441657959877585,0.14024507587962914,-0.5058306455612183,-0.07042942941188812,-0.03693125955760479,-0.01384833874180913,-0.009883506596088412,-0.0005209315568208694,0.4647603598065101,0.22083115621752356,0.07937725633382797,0.28431372344493866,0.46912698447704315,0.6111734956502914,0.7505013704299927,0.9633772969245911
human.pedestrian.personal_mobility|stride32,novel,4,0.023764096666127443,0.014372242437778578,0.011310468427836895,0.011493818368762732,0.01860551116988063,0.03087578946724534,0.04027125332504511,0.04653489589691162,0.00792591946083121,0.007569523726590695,0.0011655305279418826,0.002110786474077031,0.005116940476000309,0.010932073462754488,0.016555389203131203,0.02030426636338234,0.024302037432789803,0.042092363561032665,0.0,0.0,0.0,0.024302037432789803,0.06804570481181146,0.09720814973115921,0.8806442767381668,0.05370265019554363,0.8092564940452576,0.8402835726737976,0.8839423060417175,0.9243030101060867,0.9369828045368195,0.9454360008239746,0.8806442767381668,0.05370265019554363,0.8092564940452576,0.8402835726737976,0.8839423060417175,0.9243030101060867,0.9369828045368195,0.9454360008239746,0.02728388551622629,0.022486199906670883,0.004465222358703613,0.011276766192167997,0.020575346425175667,0.03658246574923396,0.05274476241320372,0.06351962685585022,-0.015838177176192403,0.006893550887322989,-0.02623062953352928,-0.019943716004490852,-0.014118741266429424,-0.010013202438130975,-0.009336038958281279,-0.008884596638381481,0.26400147937238216,0.12286804513365292,0.10086863487958908,0.18607732467353344,0.2594069093465805,0.33733106404542923,0.39672650396823883,0.43632346391677856
human.pedestrian.personal_mobility|stride8,novel,155,0.045519484441366886,0.04415997761649694,0.010034353472292423,0.01535931695252657,0.026430167257785797,0.06225902587175369,0.10941415876150129,0.24214385449886322,0.029204275357844908,0.04453207948782411,0.00042425640276633203,0.004091666080057621,0.01047944463789463,0.033071981742978096,0.09677058607339858,0.25045761466026306,0.023346570880723096,0.07688340495844835,0.0,0.0,0.0,0.0,0.08570622801780699,0.4741554260253906,0.712352043198001,0.12365209626264378,0.5077161192893982,0.5923588573932648,0.7189571857452393,0.8172267973423004,0.8759592771530151,0.9486499428749084,0.712352043198001,0.12365209626264378,0.5077161192893982,0.5923588573932648,0.7189571857452393,0.8172267973423004,0.8759592771530151,0.9486499428749084,0.05000459720801605,0.07335513713749572,4.353152576186403e-07,0.0032054493203759193,0.012987538240849972,0.07115175575017929,0.15282034575939177,0.35753223299980164,-0.016315209039396816,0.02081921253759454,-0.09742003679275513,-0.02065485529601574,-0.011685669422149658,-0.0064437787514179945,0.001876479201018809,0.040598973631858826,0.5018846717572981,0.3661998679123408,0.04228039085865021,0.1767560988664627,0.4164287745952606,0.7444865107536316,1.0323254585266113,1.4976409673690796
human.pedestrian.police_officer|stride16,novel,36,0.11091086118378574,0.08509701008700046,0.01033402793109417,0.03739960864186287,0.09217286482453346,0.1550540328025818,0.26013660430908203,0.30335235595703125,0.07233795626477028,0.06626240572201958,0.003097942564636469,0.014301273040473461,0.05536840483546257,0.11224581301212311,0.16256437450647354,0.27782875299453735,0.08960804613565819,0.1105656489917866,0.0,0.0,0.0359009625390172,0.17026451602578163,0.25517378747463226,0.40433385968208313,0.8175915992922254,0.12338165324838521,0.5019571781158447,0.7398546040058136,0.8538774847984314,0.919098824262619,0.9419517815113068,0.9754410982131958,0.8175915992922254,0.12338165324838521,0.5019571781158447,0.7398546040058136,0.8538774847984314,0.919098824262619,0.9419517815113068,0.9754410982131958,0.011555340568722587,0.020571049542125224,0.0004091263108421117,0.0015117730072233826,0.004886235110461712,0.012423629174008965,0.023753995075821877,0.11485723406076431,-0.03857290532646908,0.03998774988199699,-0.14002344012260437,-0.06150943785905838,-0.03167171310633421,-0.010130336508154869,-0.005910418927669525,0.044649988412857056,0.5957091074022982,0.2776997716901256,0.16927307844161987,0.4107093960046768,0.5584252774715424,0.6937399059534073,0.9102120995521545,1.4771482944488525
human.pedestrian.police_officer|stride32,novel,1,0.06931813806295395,0.0,0.06931813806295395,0.06931813806295395,0.06931813806295395,0.06931813806295395,0.06931813806295395,0.06931813806295395,0.03306940197944641,0.0,0.03306940197944641,0.03306940197944641,0.03306940197944641,0.03306940197944641,0.03306940197944641,0.03306940197944641,0.022939937189221382,0.0,0.022939937189221382,0.022939937189221382,0.022939937189221382,0.022939937189221382,0.022939937189221382,0.022939937189221382,0.94605553150177,0.0,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.0,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.94605553150177,0.007288317661732435,0.0,0.007288317661732435,0.007288317661732435,0.007288317661732435,0.007288317661732435,0.007288317661732435,0.007288317661732435,-0.03624873608350754,0.0,-0.03624873608350754,-0.03624873608350754,-0.03624873608350754,-0.03624873608350754,-0.03624873608350754,-0.03624873608350754,0.47706708312034607,0.0,0.47706708312034607,0.47706708312034607,0.47706708312034607,0.47706708312034607,0.47706708312034607,0.47706708312034607
human.pedestrian.police_officer|stride8,novel,175,0.07267877510615757,0.072520335541503,0.010228394530713558,0.020865047350525856,0.04788578301668167,0.10108639299869537,0.1681999325752258,0.4227466881275177,0.08048878914809653,0.08889998288383803,0.0018611743580549955,0.015544154215604067,0.05112787336111069,0.1093963049352169,0.19203716814517974,0.5835834741592407,0.05011272503595267,0.09164924660885097,0.0,0.0,0.0,0.05695337802171707,0.22121109664440156,0.3483039140701294,0.7698040764672416,0.11593953800516676,0.5025172233581543,0.691254198551178,0.79656982421875,0.863296627998352,0.9019217252731323,0.9908238649368286,0.7698040764672416,0.11593953800516676,0.5025172233581543,0.691254198551178,0.79656982421875,0.863296627998352,0.9019217252731323,0.9908238649368286,0.0062287935242836415,0.013634551627372966,1.936475200636778e-06,0.0010753691894933581,0.0024993049446493387,0.006424206541851163,0.010630895383656025,0.13235653936862946,0.00781001405524356,0.034240225632366034,-0.07800696790218353,-0.0070618565659970045,-0.0009676851332187653,0.01676458865404129,0.04493729174137115,0.1801937222480774,1.020252627474921,0.3845330866110063,0.16279175877571106,0.7421864867210388,0.9733990430831909,1.272213339805603,1.537597870826721,2.158698558807373
human.pedestrian.stroller|stride16,novel,24,0.24586094019468874,0.254603128429334,0.010092277079820633,0.024770454969257116,0.09854503348469734,0.4751809313893318,0.654407513141632,0.6956912875175476,0.0852236308613404,0.1010060241340633,0.001210315153002739,0.006013671983964741,0.02297395095229149,0.17672686651349068,0.23802120983600616,0.2892424762248993,0.04349206981714815,0.07942904394760102,0.0,0.0,0.0,0.04538992792367935,0.14171047061681746,0.31346288323402405,0.7295764063795408,0.14101475888037257,0.502059817314148,0.6085076779127121,0.7129260301589966,0.8615464270114899,0.885008180141449,0.9680082201957703,0.7295764063795408,0.14101475888037257,0.502059817314148,0.6085076779127121,0.7129260301589966,0.8615464270114899,0.885008180141449,0.9680082201957703,0.10282941108744126,0.1724030578756006,0.0004254276864230633,0.0145082944072783,0.024138353765010834,0.06790025159716606,0.3494620412588119,0.6026871800422668,-0.160637308532993,0.16216895745855028,-0.48609447479248047,-0.2817762717604637,-0.07898662984371185,-0.021744987461715937,-0.009940014407038691,-0.005044768564403057,0.30232787877321243,0.13884027013802877,0.04953327775001526,0.20626839995384216,0.28577400743961334,0.40516702830791473,0.47305469214916224,0.6128182411193848
human.pedestrian.stroller|stride32,novel,1,0.0506083182990551,0.0,0.0506083182990551,0.0506083182990551,0.0506083182990551,0.0506083182990551,0.0506083182990551,0.0506083182990551,0.0028553579468280077,0.0,0.0028553579468280077,0.0028553579468280077,0.0028553579468280077,0.0028553579468280077,0.0028553579468280077,0.0028553579468280077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9109382629394531,0.0,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.0,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.9109382629394531,0.24098020792007446,0.0,0.24098020792007446,0.24098020792007446,0.24098020792007446,0.24098020792007446,0.24098020792007446,0.24098020792007446,-0.04775296151638031,0.0,-0.04775296151638031,-0.04775296151638031,-0.04775296151638031,-0.04775296151638031,-0.04775296151638031,-0.04775296151638031,0.05642072483897209,0.0,0.05642072483897209,0.05642072483897209,0.05642072483897209,0.05642072483897209,0.05642072483897209,0.05642072483897209
