role,cls,n,tunk_mean,best_novel_mean,margin_mean,cache_cos_mean,tunk_wins,tunk_win_pct,cos_ge_0.55_pct,cos_ge_0.5_pct,cos_ge_0.65_pct,cos_ge_0.6_pct,reclaimable_tau0.55_m0.0005,reclaimable_tau0.55_m0.0005_pct,reclaimable_tau0.55_m0.001,reclaimable_tau0.55_m0.001_pct,reclaimable_tau0.55_m0.002,reclaimable_tau0.55_m0.002_pct,reclaimable_tau0.55_m0.003,reclaimable_tau0.55_m0.003_pct,reclaimable_tau0.55_m0.005,reclaimable_tau0.55_m0.005_pct,reclaimable_tau0.5_m0.0005,reclaimable_tau0.5_m0.0005_pct,reclaimable_tau0.5_m0.001,reclaimable_tau0.5_m0.001_pct,reclaimable_tau0.5_m0.002,reclaimable_tau0.5_m0.002_pct,reclaimable_tau0.5_m0.003,reclaimable_tau0.5_m0.003_pct,reclaimable_tau0.5_m0.005,reclaimable_tau0.5_m0.005_pct,reclaimable_tau0.65_m0.0005,reclaimable_tau0.65_m0.0005_pct,reclaimable_tau0.65_m0.001,reclaimable_tau0.65_m0.001_pct,reclaimable_tau0.65_m0.002,reclaimable_tau0.65_m0.002_pct,reclaimable_tau0.65_m0.003,reclaimable_tau0.65_m0.003_pct,reclaimable_tau0.65_m0.005,reclaimable_tau0.65_m0.005_pct,reclaimable_tau0.6_m0.0005,reclaimable_tau0.6_m0.0005_pct,reclaimable_tau0.6_m0.001,reclaimable_tau0.6_m0.001_pct,reclaimable_tau0.6_m0.002,reclaimable_tau0.6_m0.002_pct,reclaimable_tau0.6_m0.003,reclaimable_tau0.6_m0.003_pct,reclaimable_tau0.6_m0.005,reclaimable_tau0.6_m0.005_pct
novel,excavator,155,0.009415872838091092,0.031001688005080057,-0.02158581532213899,0.8090537136600864,3,1.935483870967742,90.96774193548387,98.06451612903226,81.93548387096774,87.09677419354838,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806,1,0.6451612903225806
novel,street_cart,995,0.0028928774250898035,0.03756557748940321,-0.034672700188621675,0.7631055640066089,12,1.2060301507537687,82.61306532663316,89.84924623115577,72.26130653266331,76.98492462311557,2,0.20100502512562815,2,0.20100502512562815,2,0.20100502512562815,2,0.20100502512562815,4,0.4020100502512563,4,0.4020100502512563,4,0.4020100502512563,4,0.4020100502512563,4,0.4020100502512563,6,0.6030150753768844,2,0.20100502512562815,2,0.20100502512562815,2,0.20100502512562815,2,0.20100502512562815,4,0.4020100502512563,2,0.20100502512562815,2,0.20100502512562815,2,0.20100502512562815,2,0.20100502512562815,4,0.4020100502512563
novel,tanker_vehicle,302,0.021209575043055234,0.033447430629598346,-0.012237855623104704,0.8413360385310571,20,6.622516556291391,95.36423841059603,98.34437086092716,88.0794701986755,90.72847682119205,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087,3,0.9933774834437087
novel,truck,3094,0.01751573128759978,0.03408482768596666,-0.01656909644624842,0.7875076159979346,169,5.46218487394958,96.50937297996121,97.99612152553328,88.42921784098255,92.66321913380737,19,0.6140917905623788,21,0.6787330316742082,26,0.8403361344537815,27,0.8726567550096962,32,1.0342598577892694,19,0.6140917905623788,21,0.6787330316742082,27,0.8726567550096962,28,0.904977375565611,33,1.0665804783451842,19,0.6140917905623788,21,0.6787330316742082,26,0.8403361344537815,27,0.8726567550096962,32,1.0342598577892694,19,0.6140917905623788,21,0.6787330316742082,26,0.8403361344537815,27,0.8726567550096962,32,1.0342598577892694
unknown,animal,116,0.01420501730695477,0.0008182991778348732,0.013386718361643896,0.5365010285428886,25,21.551724137931032,43.103448275862064,57.758620689655174,26.72413793103448,34.48275862068966,1,0.8620689655172413,1,0.8620689655172413,1,0.8620689655172413,1,0.8620689655172413,1,0.8620689655172413,2,1.7241379310344827,2,1.7241379310344827,2,1.7241379310344827,2,1.7241379310344827,3,2.586206896551724,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
unknown,concrete_mixer,77,0.0038085610019238285,0.01794314889182627,-0.014134588251563239,0.8350971782362306,1,1.2987012987012987,92.20779220779221,93.5064935064935,83.11688311688312,85.71428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
unknown,pole,1267,0.01462982422529339,0.0001169724113426115,0.014512851866880856,0.6080756778075362,554,43.72533543804262,63.61483820047356,78.05840568271508,32.28097868981847,46.32991318074191,192,15.15390686661405,211,16.65351223362273,227,17.91633780584057,241,19.021310181531177,254,20.047355958958168,244,19.258089976322022,268,21.152328334648775,292,23.04656669297553,312,24.62509865824783,331,26.124704025256513,51,4.025256511444357,54,4.262036306235202,57,4.498816101026046,60,4.73559589581689,62,4.89344909234412,125,9.865824782951854,133,10.497237569060774,142,11.207576953433307,152,11.996842936069456,159,12.54932912391476
unknown,pull_cart,54,0.0021240776907857912,0.021368483356116016,-0.019244406026710972,0.7560655960330257,0,0.0,87.03703703703704,94.44444444444444,74.07407407407408,77.77777777777779,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
unknown,road_roller,45,0.013013485513582508,0.052248332317922634,-0.03923484664310342,0.820121431350708,0,0.0,93.33333333333333,95.55555555555556,82.22222222222221,82.22222222222221,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
unknown,tractor,367,0.0034082688371332858,0.012781202588776169,-0.009372933797368107,0.826758094883095,2,0.544959128065395,94.00544959128065,96.73024523160763,86.10354223433242,91.00817438692098,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975,1,0.2724795640326975
