gt_class,role,novel_class,N,mean_cos,std_cos,p10_cos,p50_cos,p90_cos,max_cos
concrete_mixer,unknown,street_cart,64,0.4515591263771057,0.17100782692432404,0.3068722039461136,0.39554211497306824,0.8131059050559998,0.9073371291160583
concrete_mixer,unknown,excavator,64,0.5313997864723206,0.16550903022289276,0.4010397642850876,0.4703519344329834,0.8755272030830383,0.9402121305465698
pole,unknown,bus,50,0.491097629070282,0.1550760269165039,0.32704792320728304,0.4926706403493881,0.7076650738716126,0.81828373670578
pole,unknown,truck,50,0.44547274708747864,0.1742163598537445,0.22192820757627488,0.43269169330596924,0.6974890172481537,0.7984752655029297
pole,unknown,tanker_vehicle,50,0.43963462114334106,0.16699475049972534,0.28328736722469333,0.4205332547426224,0.6789393544197083,0.828657865524292
pole,unknown,crane_truck,50,0.5213063359260559,0.19231833517551422,0.30106495320796967,0.506627231836319,0.7871679484844208,0.9112135767936707
pole,unknown,street_cart,50,0.3963128328323364,0.16525718569755554,0.21721190810203553,0.37775474786758423,0.6596992075443268,0.7975090742111206
pole,unknown,excavator,50,0.43639901280403137,0.17510370910167694,0.2450938403606415,0.39535902440547943,0.7015315473079682,0.8670573234558105
pull_cart,unknown,bus,37,0.3594721257686615,0.20414738357067108,0.16783392429351807,0.30792686343193054,0.6966255068778991,0.8360673189163208
pull_cart,unknown,truck,37,0.48347175121307373,0.2027883529663086,0.2727866113185883,0.39785975217819214,0.8064542293548584,0.8908963203430176
pull_cart,unknown,tanker_vehicle,37,0.4892347753047943,0.18656788766384125,0.29142423868179324,0.45692020654678345,0.7854632496833801,0.9263038039207458
pull_cart,unknown,crane_truck,37,0.41446778178215027,0.1757887452840805,0.21752341389656066,0.3647790253162384,0.6736506342887878,0.8299428820610046
pull_cart,unknown,street_cart,37,0.5419778823852539,0.18961608409881592,0.3447523593902588,0.49944525957107544,0.8277662038803101,0.942417562007904
pull_cart,unknown,excavator,37,0.46663370728492737,0.2045275717973709,0.26203337907791135,0.3937128782272339,0.7985160112380981,0.9250943064689636
road_roller,unknown,bus,27,0.4000362455844879,0.14199192821979523,0.28642475605010986,0.35678091645240784,0.5798372745513918,0.843670666217804
road_roller,unknown,truck,27,0.4891190230846405,0.15289193391799927,0.34943014979362486,0.44256308674812317,0.7151235103607179,0.9160606861114502
road_roller,unknown,tanker_vehicle,27,0.5618190765380859,0.14725740253925323,0.4370711326599121,0.5218695998191833,0.8260616421699525,0.927532434463501
road_roller,unknown,crane_truck,27,0.45484453439712524,0.13983027637004852,0.3163856029510498,0.42428261041641235,0.6366501569747925,0.8708768486976624
road_roller,unknown,street_cart,27,0.47751128673553467,0.12977716326713562,0.3697331964969635,0.43961310386657715,0.7001436352729797,0.8531104326248169
road_roller,unknown,excavator,27,0.49750474095344543,0.16275861859321594,0.3633351385593414,0.4522973597049713,0.7891356706619264,0.9284937381744385
tractor,unknown,bus,275,0.44801995158195496,0.20173528790473938,0.2309403210878372,0.37550801038742065,0.7954895496368408,0.8921786546707153
tractor,unknown,truck,275,0.5808589458465576,0.1793147623538971,0.4076079487800598,0.5019864439964294,0.8752359628677369,0.9632003307342529
tractor,unknown,tanker_vehicle,275,0.6121095418930054,0.1541612297296524,0.46689215302467346,0.5404577851295471,0.8663568496704102,0.9410587549209595
tractor,unknown,crane_truck,275,0.5024005770683289,0.16723671555519104,0.3491855561733246,0.4391205310821533,0.8128346562385559,0.9054269194602966
tractor,unknown,street_cart,275,0.5432313084602356,0.17271366715431213,0.3727946996688843,0.47798046469688416,0.8178730010986328,0.9272561073303223
tractor,unknown,excavator,275,0.5737459063529968,0.18194851279258728,0.42632558941841125,0.48031580448150635,0.8989523410797119,0.9669942855834961
